treatment_variable,theta,std_err,p_value,conf_int_lower,conf_int_upper,y_model_auc,d_model_r2,n_obs
ffr_slope_trend_z_scaled_mean,-0.0171,0.0030,0.0000,-0.0230,-0.0112,0.8913,0.0971,2500
ffr_slope_trend_z_scaled_last,-0.0157,0.0030,0.0000,-0.0216,-0.0098,0.8924,-0.0676,2500
ffr_slope_roc63_scaled_last,-0.0228,0.0047,0.0000,-0.0321,-0.0135,0.8920,0.0159,2500
credit_spread_scaled_std,-0.0524,0.0111,0.0000,-0.0743,-0.0306,0.9105,-0.1846,2500
credit_spread_trend_z_scaled_std,-0.0522,0.0115,0.0000,-0.0747,-0.0297,0.9096,-0.1549,2500
fx_rv_6j_21d_trend_z_scaled_mean,-0.0143,0.0033,0.0000,-0.0207,-0.0078,0.8958,-0.1752,2500
flow_concentration_10d_roc63_scaled_last,-0.0174,0.0042,0.0000,-0.0256,-0.0091,0.9049,0.2111,2500
ffr_slope_roc63_scaled_mean,-0.0122,0.0030,0.0001,-0.0181,-0.0062,0.8922,-0.2887,2500
ffr_slope_scaled_last,-0.0154,0.0039,0.0001,-0.0230,-0.0079,0.8922,-0.1653,2500
upg_63d_roc63_scaled_last,-0.0278,0.0070,0.0001,-0.0415,-0.0141,0.8184,0.6873,2500
upg_63d_trend_z_scaled_last,-0.0105,0.0027,0.0001,-0.0157,-0.0053,0.8175,0.5811,2500
amihud_illiquidity_trend_z_scaled_std,-0.0608,0.0158,0.0001,-0.0917,-0.0299,0.9140,-0.1301,2500
upg_63d_roc63_scaled_mean,-0.0271,0.0071,0.0001,-0.0410,-0.0132,0.8184,0.7414,2500
upg_63d_scaled_last,-0.0145,0.0039,0.0002,-0.0221,-0.0070,0.8192,0.6870,2500
upg_63d_trend_z_scaled_std,-0.0537,0.0145,0.0002,-0.0821,-0.0253,0.8177,0.1968,2500
ffr_slope_scaled_mean,-0.0145,0.0040,0.0003,-0.0224,-0.0066,0.8925,-0.2772,2500
gex_oi_scaled_std,-0.0687,0.0194,0.0004,-0.1067,-0.0307,0.8331,0.1439,2500
fx_rv_6j_21d_trend_z_scaled_last,-0.0153,0.0044,0.0005,-0.0238,-0.0067,0.8923,-0.0280,2500
gex_oi_roc63_scaled_std,-0.0388,0.0114,0.0007,-0.0612,-0.0165,0.8514,0.1631,2500
vix_roc63_scaled_trend,0.2121,0.0632,0.0008,0.0881,0.3361,0.8885,0.7177,2500
credit_spread_trend_z_scaled_trend,-0.0672,0.0201,0.0008,-0.1066,-0.0278,0.9099,0.1355,2500
vix_roc63_scaled_last,0.0245,0.0074,0.0009,0.0100,0.0389,0.8878,0.7459,2500
flow_concentration_10d_trend_z_scaled_last,-0.0119,0.0036,0.0010,-0.0189,-0.0048,0.9011,0.1661,2500
ffr_slope_scaled_trend,-0.1436,0.0437,0.0010,-0.2293,-0.0579,0.8914,-0.0823,2500
realized_volatility_trend_z_scaled_mean,-0.0160,0.0049,0.0011,-0.0257,-0.0064,0.9018,0.8449,2500
dex_oi_roc63_scaled_trend,0.1555,0.0483,0.0013,0.0609,0.2501,0.8470,0.6643,2500
dex_oi_trend_z_scaled_std,-0.0466,0.0146,0.0014,-0.0751,-0.0180,0.8469,0.2219,2500
dex_oi_scaled_mean,-0.0237,0.0074,0.0014,-0.0383,-0.0092,0.8484,0.7429,2500
fx_rv_6j_21d_roc63_scaled_mean,-0.0176,0.0055,0.0015,-0.0285,-0.0067,0.8919,0.0482,2500
upg_63d_trend_z_scaled_mean,-0.0117,0.0037,0.0016,-0.0190,-0.0044,0.8199,0.6072,2500
upg_63d_scaled_mean,-0.0171,0.0054,0.0017,-0.0277,-0.0064,0.8214,0.6820,2500
vix_scaled_std,0.0727,0.0235,0.0020,0.0266,0.1188,0.8886,0.2697,2500
ofi_roc63_scaled_mean,-0.0436,0.0143,0.0023,-0.0716,-0.0155,0.9043,0.1776,2500
fx_momentum_6e_21d_trend_z_scaled_trend,-0.1064,0.0350,0.0024,-0.1751,-0.0378,0.9317,0.0909,2500
fx_rv_6j_21d_scaled_mean,-0.0128,0.0042,0.0025,-0.0211,-0.0045,0.8920,0.0069,2500
credit_spread_scaled_trend,-0.1066,0.0352,0.0025,-0.1757,-0.0375,0.9102,0.2009,2500
gex_oi_roc63_scaled_trend,0.1584,0.0528,0.0027,0.0550,0.2618,0.8316,0.5440,2500
flow_concentration_10d_roc63_scaled_trend,-0.1007,0.0336,0.0028,-0.1666,-0.0348,0.8971,0.1556,2500
fx_momentum_6e_21d_trend_z_scaled_last,-0.0079,0.0027,0.0033,-0.0131,-0.0026,0.9315,0.1120,2500
fx_momentum_6e_21d_scaled_trend,-0.1043,0.0360,0.0037,-0.1748,-0.0338,0.9293,0.1001,2500
ofi_trend_z_scaled_mean,-0.0304,0.0106,0.0043,-0.0512,-0.0095,0.8987,0.0372,2500
vix_roc63_scaled_mean,0.0174,0.0061,0.0045,0.0054,0.0294,0.8888,0.7699,2500
vrp_scaled_std,-0.0566,0.0204,0.0054,-0.0965,-0.0167,0.9101,0.0481,2500
pcr_oi_roc63_scaled_std,-0.0549,0.0199,0.0057,-0.0938,-0.0160,0.8868,-0.0456,2500
dex_oi_scaled_std,-0.0326,0.0120,0.0068,-0.0562,-0.0090,0.8368,0.1969,2500
risk_neutral_skewness_scaled_trend,-0.1346,0.0498,0.0069,-0.2321,-0.0370,0.8564,-0.0068,2500
risk_neutral_skewness_trend_z_scaled_trend,-0.1533,0.0580,0.0082,-0.2669,-0.0397,0.8556,-0.0090,2500
dex_oi_trend_z_scaled_trend,0.0990,0.0377,0.0087,0.0251,0.1729,0.8369,0.5578,2500
fx_momentum_6e_21d_roc63_scaled_std,0.0695,0.0267,0.0094,0.0171,0.1219,0.9312,0.0568,2500
amihud_illiquidity_roc63_scaled_mean,0.0340,0.0131,0.0094,0.0083,0.0596,0.9145,0.4581,2500
vrp_trend_z_scaled_std,-0.0409,0.0160,0.0104,-0.0722,-0.0096,0.9033,0.0524,2500
gex_oi_scaled_trend,0.0950,0.0375,0.0113,0.0215,0.1684,0.8397,0.5331,2500
amihud_illiquidity_trend_z_scaled_mean,0.0322,0.0128,0.0121,0.0071,0.0574,0.9151,0.3983,2500
pcr_oi_trend_z_scaled_mean,0.0115,0.0046,0.0121,0.0025,0.0205,0.8910,0.2252,2500
pcr_oi_scaled_mean,0.0073,0.0029,0.0123,0.0016,0.0130,0.8815,0.1964,2500
flow_concentration_10d_scaled_std,0.0636,0.0254,0.0124,0.0138,0.1134,0.9021,-0.0076,2500
risk_neutral_skewness_scaled_last,-0.0113,0.0045,0.0127,-0.0202,-0.0024,0.8545,0.1296,2500
fx_momentum_6j_21d_roc63_scaled_std,-0.0356,0.0143,0.0129,-0.0637,-0.0075,0.8881,0.0477,2500
fx_rv_6j_21d_scaled_last,-0.0096,0.0039,0.0135,-0.0172,-0.0020,0.8813,-0.0071,2500
risk_neutral_skewness_trend_z_scaled_last,-0.0121,0.0050,0.0151,-0.0219,-0.0023,0.8557,0.1161,2500
vix_scaled_trend,0.1478,0.0612,0.0158,0.0278,0.2679,0.8880,0.6425,2500
vix_trend_z_scaled_trend,0.1140,0.0472,0.0158,0.0214,0.2066,0.8878,0.5506,2500
dex_oi_roc63_scaled_mean,-0.0106,0.0044,0.0162,-0.0192,-0.0020,0.8411,0.7751,2500
ffr_basis_roc63_scaled_mean,0.0111,0.0047,0.0177,0.0019,0.0202,0.8923,-0.0037,2500
fx_momentum_6e_21d_scaled_last,-0.0076,0.0032,0.0180,-0.0139,-0.0013,0.9311,0.1019,2500
risk_neutral_kurtosis_trend_z_scaled_mean,0.0186,0.0080,0.0196,0.0030,0.0342,0.8565,-0.0531,2500
flow_concentration_10d_trend_z_scaled_trend,-0.0902,0.0387,0.0197,-0.1660,-0.0144,0.8953,0.1545,2500
flow_concentration_10d_trend_z_scaled_mean,-0.0093,0.0040,0.0202,-0.0172,-0.0015,0.8999,-0.0086,2500
flow_concentration_10d_trend_z_scaled_std,0.0404,0.0176,0.0219,0.0059,0.0750,0.9036,-0.0055,2500
flow_concentration_10d_roc63_scaled_std,0.0515,0.0226,0.0228,0.0072,0.0958,0.9094,-0.0120,2500
vix_trend_z_scaled_last,0.0099,0.0044,0.0232,0.0014,0.0184,0.8887,0.7574,2500
ofi_scaled_mean,-0.0273,0.0121,0.0235,-0.0510,-0.0037,0.9023,0.0696,2500
realized_volatility_roc63_scaled_mean,-0.0202,0.0091,0.0260,-0.0380,-0.0024,0.9014,0.8277,2500
vix_roc63_scaled_std,0.0453,0.0204,0.0260,0.0054,0.0853,0.8885,0.3728,2500
ffr_basis_roc63_scaled_last,0.0081,0.0036,0.0260,0.0010,0.0152,0.8927,-0.1560,2500
pcr_oi_trend_z_scaled_last,0.0088,0.0039,0.0263,0.0010,0.0165,0.8936,0.2275,2500
amihud_illiquidity_scaled_mean,0.0334,0.0153,0.0292,0.0034,0.0634,0.9158,0.5479,2500
ffr_slope_trend_z_scaled_trend,-0.0834,0.0386,0.0306,-0.1590,-0.0078,0.8918,-0.0341,2500
risk_neutral_kurtosis_scaled_mean,0.0173,0.0080,0.0306,0.0016,0.0329,0.8561,-0.0052,2500
upg_63d_roc63_scaled_trend,-0.1180,0.0551,0.0321,-0.2260,-0.0101,0.8190,0.6810,2500
fx_rv_6e_21d_roc63_scaled_trend,-0.0520,0.0244,0.0329,-0.0998,-0.0042,0.9300,0.0378,2500
gex_oi_trend_z_scaled_trend,0.0651,0.0309,0.0351,0.0046,0.1256,0.8348,0.4253,2500
risk_neutral_skewness_roc63_scaled_trend,-0.0946,0.0451,0.0359,-0.1829,-0.0062,0.8695,-0.0095,2500
fx_rv_6j_21d_roc63_scaled_last,-0.0109,0.0052,0.0368,-0.0211,-0.0007,0.8869,0.0046,2500
flow_concentration_10d_scaled_trend,-0.0846,0.0413,0.0403,-0.1655,-0.0038,0.9038,0.1738,2500
dex_oi_scaled_trend,0.0734,0.0359,0.0408,0.0031,0.1437,0.8410,0.6111,2500
credit_spread_roc63_scaled_mean,-0.0115,0.0056,0.0417,-0.0226,-0.0004,0.9103,0.3520,2500
pcr_oi_trend_z_scaled_std,-0.0337,0.0166,0.0420,-0.0662,-0.0012,0.8924,-0.0752,2500
pcr_oi_roc63_scaled_last,0.0087,0.0043,0.0429,0.0003,0.0170,0.8927,0.1610,2500
credit_spread_scaled_last,0.0079,0.0039,0.0432,0.0002,0.0155,0.9113,0.2140,2500
dex_oi_scaled_last,-0.0115,0.0058,0.0478,-0.0228,-0.0001,0.8420,0.6764,2500
pcr_oi_scaled_last,0.0037,0.0019,0.0544,-0.0001,0.0075,0.8838,0.1222,2500
flow_concentration_10d_roc63_scaled_mean,-0.0096,0.0050,0.0547,-0.0195,0.0002,0.9074,0.1158,2500
risk_neutral_skewness_trend_z_scaled_std,0.0330,0.0173,0.0561,-0.0009,0.0669,0.8600,-0.2445,2500
amihud_illiquidity_scaled_std,-0.0450,0.0239,0.0600,-0.0920,0.0019,0.9153,-0.0036,2500
vrp_roc63_scaled_std,-0.0489,0.0262,0.0615,-0.1002,0.0024,0.9044,-0.0401,2500
pcr_oi_scaled_trend,-0.1649,0.0901,0.0671,-0.3414,0.0116,0.8862,0.0213,2500
ffr_basis_trend_z_scaled_std,-0.0153,0.0084,0.0684,-0.0319,0.0012,0.8918,0.0260,2500
amihud_illiquidity_roc63_scaled_last,0.0084,0.0046,0.0695,-0.0007,0.0175,0.9136,0.1219,2500
vix_trend_z_scaled_mean,0.0095,0.0054,0.0823,-0.0012,0.0201,0.8881,0.8164,2500
gex_oi_scaled_last,-0.0076,0.0044,0.0867,-0.0163,0.0011,0.8390,0.6000,2500
ffr_basis_roc63_scaled_trend,-0.0589,0.0347,0.0894,-0.1269,0.0091,0.8920,-0.0256,2500
fx_rv_6j_21d_roc63_scaled_std,-0.0321,0.0195,0.1003,-0.0703,0.0062,0.8875,-0.0117,2500
upg_63d_scaled_std,-0.0241,0.0147,0.1005,-0.0529,0.0047,0.8206,0.1484,2500
gex_oi_trend_z_scaled_last,-0.0092,0.0056,0.1031,-0.0203,0.0019,0.8443,0.3896,2500
risk_neutral_skewness_scaled_std,0.0180,0.0113,0.1105,-0.0041,0.0402,0.8558,-0.1740,2500
credit_spread_trend_z_scaled_last,0.0065,0.0042,0.1228,-0.0018,0.0148,0.9113,0.3390,2500
realized_volatility_scaled_mean,-0.0135,0.0089,0.1298,-0.0309,0.0040,0.9020,0.8795,2500
credit_spread_roc63_scaled_std,-0.0419,0.0279,0.1331,-0.0967,0.0128,0.9105,-0.0963,2500
ffr_basis_trend_z_scaled_last,-0.0060,0.0041,0.1376,-0.0140,0.0019,0.8924,-0.0031,2500
gex_oi_roc63_scaled_last,0.0088,0.0059,0.1383,-0.0028,0.0205,0.8388,0.6110,2500
ffr_basis_scaled_mean,-0.0059,0.0040,0.1396,-0.0137,0.0019,0.8922,-0.0071,2500
fx_momentum_6j_21d_trend_z_scaled_std,-0.0251,0.0171,0.1413,-0.0585,0.0083,0.8824,-0.0239,2500
fx_momentum_6e_21d_trend_z_scaled_std,0.0305,0.0211,0.1480,-0.0108,0.0719,0.9305,-0.1773,2500
risk_neutral_kurtosis_trend_z_scaled_last,0.0058,0.0041,0.1595,-0.0023,0.0139,0.8554,-0.0189,2500
realized_volatility_trend_z_scaled_std,0.0145,0.0104,0.1623,-0.0059,0.0349,0.9032,0.3237,2500
vrp_trend_z_scaled_mean,0.0084,0.0062,0.1725,-0.0037,0.0205,0.9018,0.1014,2500
gex_oi_scaled_mean,-0.0056,0.0042,0.1802,-0.0138,0.0026,0.8403,0.6880,2500
ffr_basis_roc63_scaled_std,-0.0147,0.0110,0.1815,-0.0363,0.0069,0.8924,0.0438,2500
realized_volatility_roc63_scaled_last,-0.0093,0.0070,0.1877,-0.0231,0.0045,0.9015,0.6753,2500
fx_momentum_6e_21d_scaled_std,0.0260,0.0199,0.1902,-0.0129,0.0649,0.9305,-0.0751,2500
ffr_slope_scaled_std,-0.0232,0.0178,0.1943,-0.0581,0.0118,0.8923,-0.0407,2500
ofi_scaled_trend,0.0639,0.0499,0.2002,-0.0339,0.1617,0.9187,0.2137,2500
risk_neutral_kurtosis_scaled_last,0.0046,0.0037,0.2126,-0.0026,0.0118,0.8601,-0.0057,2500
risk_neutral_skewness_scaled_mean,-0.0078,0.0063,0.2174,-0.0201,0.0046,0.8596,0.3269,2500
credit_spread_scaled_mean,0.0040,0.0032,0.2175,-0.0024,0.0103,0.9108,0.1252,2500
gex_oi_trend_z_scaled_mean,-0.0095,0.0079,0.2341,-0.0250,0.0061,0.8328,0.5054,2500
ffr_basis_scaled_last,-0.0044,0.0038,0.2417,-0.0119,0.0030,0.8922,-0.0273,2500
vix_scaled_last,0.0059,0.0051,0.2469,-0.0041,0.0158,0.8878,0.7889,2500
amihud_illiquidity_trend_z_scaled_trend,0.0542,0.0469,0.2474,-0.0377,0.1461,0.9138,0.0626,2500
ofi_roc63_scaled_last,-0.0060,0.0054,0.2710,-0.0166,0.0047,0.8943,0.2129,2500
pcr_oi_scaled_std,0.0302,0.0278,0.2766,-0.0242,0.0846,0.8871,-0.1217,2500
ffr_slope_roc63_scaled_trend,-0.0575,0.0529,0.2771,-0.1612,0.0462,0.8922,0.0263,2500
amihud_illiquidity_roc63_scaled_trend,0.0493,0.0457,0.2811,-0.0403,0.1388,0.9144,0.0424,2500
risk_neutral_skewness_roc63_scaled_last,-0.0038,0.0035,0.2820,-0.0107,0.0031,0.8565,0.0862,2500
fx_rv_6e_21d_scaled_trend,-0.0447,0.0421,0.2884,-0.1274,0.0379,0.9308,0.0243,2500
fx_momentum_6e_21d_roc63_scaled_last,-0.0030,0.0029,0.3017,-0.0086,0.0027,0.9295,0.1066,2500
ffr_basis_scaled_trend,0.0260,0.0254,0.3070,-0.0239,0.0758,0.8923,-0.2743,2500
fx_momentum_6e_21d_roc63_scaled_trend,-0.0360,0.0366,0.3256,-0.1078,0.0358,0.9300,-0.0072,2500
fx_momentum_6j_21d_scaled_last,-0.0030,0.0030,0.3262,-0.0088,0.0029,0.8898,0.1814,2500
realized_volatility_scaled_std,-0.0184,0.0188,0.3279,-0.0552,0.0185,0.9018,0.3484,2500
flow_concentration_10d_scaled_mean,-0.0047,0.0049,0.3308,-0.0143,0.0048,0.9067,0.0610,2500
fx_momentum_6j_21d_scaled_mean,-0.0027,0.0028,0.3340,-0.0082,0.0028,0.8881,0.2037,2500
fx_momentum_6j_21d_roc63_scaled_trend,-0.0216,0.0226,0.3402,-0.0660,0.0228,0.8951,0.0958,2500
realized_volatility_scaled_last,-0.0028,0.0030,0.3418,-0.0087,0.0030,0.9015,0.7193,2500
dex_oi_trend_z_scaled_mean,-0.0042,0.0045,0.3436,-0.0130,0.0045,0.8548,0.6439,2500
fx_momentum_6j_21d_trend_z_scaled_trend,-0.0202,0.0217,0.3530,-0.0628,0.0224,0.8895,0.1080,2500
ofi_trend_z_scaled_trend,0.0481,0.0523,0.3575,-0.0544,0.1507,0.9057,0.2268,2500
amihud_illiquidity_scaled_last,0.0044,0.0049,0.3644,-0.0052,0.0140,0.9146,0.2128,2500
fx_rv_6j_21d_trend_z_scaled_std,0.0184,0.0208,0.3767,-0.0224,0.0592,0.8887,-0.0047,2500
fx_momentum_6e_21d_roc63_scaled_mean,-0.0034,0.0038,0.3780,-0.0109,0.0041,0.9301,0.1250,2500
fx_momentum_6j_21d_scaled_trend,-0.0197,0.0231,0.3930,-0.0650,0.0256,0.8861,0.1114,2500
amihud_illiquidity_scaled_trend,0.0406,0.0485,0.4022,-0.0544,0.1357,0.9157,0.0594,2500
risk_neutral_kurtosis_roc63_scaled_std,0.0120,0.0146,0.4086,-0.0165,0.0406,0.8601,-0.1387,2500
ofi_trend_z_scaled_std,0.0334,0.0409,0.4138,-0.0467,0.1135,0.8995,0.3018,2500
credit_spread_trend_z_scaled_mean,0.0043,0.0053,0.4197,-0.0061,0.0147,0.9110,0.4071,2500
ffr_basis_trend_z_scaled_trend,0.0161,0.0201,0.4216,-0.0232,0.0554,0.8928,-0.0711,2500
dex_oi_roc63_scaled_last,0.0041,0.0052,0.4279,-0.0061,0.0143,0.8339,0.7384,2500
realized_volatility_trend_z_scaled_last,0.0035,0.0044,0.4279,-0.0052,0.0122,0.9011,0.6844,2500
risk_neutral_kurtosis_trend_z_scaled_std,0.0071,0.0091,0.4296,-0.0106,0.0249,0.8712,-0.0659,2500
fx_momentum_6j_21d_scaled_std,-0.0139,0.0176,0.4304,-0.0484,0.0206,0.8987,0.0009,2500
vix_trend_z_scaled_std,0.0157,0.0199,0.4310,-0.0233,0.0547,0.8882,0.0520,2500
fx_momentum_6j_21d_trend_z_scaled_last,-0.0025,0.0032,0.4370,-0.0086,0.0037,0.8904,0.1969,2500
ffr_slope_roc63_scaled_std,0.0163,0.0212,0.4409,-0.0252,0.0579,0.8924,-0.0092,2500
fx_momentum_6j_21d_roc63_scaled_mean,-0.0025,0.0033,0.4523,-0.0089,0.0040,0.9025,0.2675,2500
ffr_basis_trend_z_scaled_mean,-0.0030,0.0041,0.4547,-0.0110,0.0049,0.8924,-0.1553,2500
flow_concentration_10d_scaled_last,-0.0022,0.0030,0.4662,-0.0081,0.0037,0.9061,0.1420,2500
fx_momentum_6j_21d_roc63_scaled_last,-0.0023,0.0033,0.4759,-0.0088,0.0041,0.8873,0.1892,2500
vrp_trend_z_scaled_trend,0.0232,0.0327,0.4782,-0.0409,0.0872,0.9110,0.0479,2500
fx_rv_6j_21d_scaled_std,-0.0139,0.0212,0.5120,-0.0555,0.0276,0.8816,-0.0431,2500
dex_oi_roc63_scaled_std,-0.0098,0.0158,0.5352,-0.0407,0.0212,0.8281,0.2901,2500
credit_spread_roc63_scaled_last,-0.0031,0.0051,0.5405,-0.0132,0.0069,0.9100,0.3244,2500
pcr_oi_trend_z_scaled_trend,-0.0310,0.0508,0.5422,-0.1306,0.0686,0.8891,0.0212,2500
ofi_scaled_std,0.0265,0.0437,0.5441,-0.0592,0.1123,0.9093,0.2851,2500
risk_neutral_kurtosis_trend_z_scaled_trend,0.0229,0.0388,0.5543,-0.0531,0.0990,0.8540,-0.0002,2500
risk_neutral_skewness_roc63_scaled_std,0.0146,0.0249,0.5587,-0.0343,0.0634,0.8627,-0.2708,2500
amihud_illiquidity_trend_z_scaled_last,0.0026,0.0046,0.5707,-0.0064,0.0116,0.9154,0.1685,2500
gex_oi_roc63_scaled_mean,-0.0044,0.0078,0.5764,-0.0197,0.0109,0.8566,0.6865,2500
gex_oi_trend_z_scaled_std,0.0084,0.0154,0.5838,-0.0217,0.0385,0.8296,0.0375,2500
fx_rv_6e_21d_roc63_scaled_mean,-0.0024,0.0045,0.5925,-0.0112,0.0064,0.9320,-0.0850,2500
fx_rv_6e_21d_scaled_last,0.0023,0.0044,0.5996,-0.0062,0.0108,0.9311,0.0374,2500
realized_volatility_roc63_scaled_trend,-0.0245,0.0483,0.6119,-0.1192,0.0702,0.9037,0.6376,2500
ofi_roc63_scaled_std,0.0150,0.0300,0.6179,-0.0438,0.0738,0.9014,0.1511,2500
fx_rv_6e_21d_trend_z_scaled_trend,-0.0167,0.0336,0.6191,-0.0825,0.0491,0.9309,0.0076,2500
risk_neutral_kurtosis_scaled_std,-0.0055,0.0113,0.6279,-0.0277,0.0167,0.8548,-0.0111,2500
fx_rv_6e_21d_trend_z_scaled_last,0.0021,0.0044,0.6318,-0.0065,0.0107,0.9319,-0.1714,2500
vrp_roc63_scaled_mean,0.0037,0.0078,0.6337,-0.0116,0.0191,0.9039,0.2051,2500
upg_63d_scaled_trend,0.0173,0.0365,0.6344,-0.0542,0.0889,0.8181,0.6433,2500
risk_neutral_kurtosis_roc63_scaled_mean,0.0039,0.0086,0.6486,-0.0129,0.0207,0.8593,-0.1244,2500
vrp_scaled_mean,0.0026,0.0058,0.6501,-0.0088,0.0140,0.9097,0.1843,2500
fx_momentum_6e_21d_scaled_mean,-0.0017,0.0039,0.6695,-0.0092,0.0059,0.9304,0.1180,2500
upg_63d_roc63_scaled_std,-0.0083,0.0197,0.6733,-0.0469,0.0303,0.8189,0.3630,2500
vrp_roc63_scaled_last,0.0019,0.0045,0.6781,-0.0070,0.0107,0.9055,0.0954,2500
risk_neutral_skewness_trend_z_scaled_mean,-0.0026,0.0063,0.6788,-0.0149,0.0097,0.8543,0.2875,2500
vrp_scaled_trend,0.0145,0.0363,0.6890,-0.0566,0.0856,0.9030,0.0677,2500
amihud_illiquidity_roc63_scaled_std,-0.0105,0.0271,0.6988,-0.0637,0.0427,0.9155,0.0548,2500
vrp_trend_z_scaled_last,0.0016,0.0043,0.7089,-0.0068,0.0099,0.9097,0.0623,2500
ofi_trend_z_scaled_last,-0.0020,0.0055,0.7140,-0.0128,0.0087,0.9089,0.2640,2500
vix_scaled_mean,0.0018,0.0051,0.7200,-0.0081,0.0118,0.8887,0.7890,2500
fx_rv_6j_21d_trend_z_scaled_trend,0.0181,0.0506,0.7202,-0.0811,0.1174,0.9001,-0.0086,2500
fx_rv_6j_21d_roc63_scaled_trend,-0.0085,0.0248,0.7306,-0.0571,0.0401,0.9025,-0.1146,2500
fx_rv_6e_21d_roc63_scaled_std,0.0082,0.0244,0.7358,-0.0396,0.0561,0.9316,-0.0173,2500
risk_neutral_kurtosis_scaled_trend,0.0124,0.0380,0.7439,-0.0621,0.0869,0.8565,-0.0013,2500
upg_63d_trend_z_scaled_trend,0.0154,0.0510,0.7634,-0.0846,0.1153,0.8184,0.6092,2500
risk_neutral_skewness_roc63_scaled_mean,0.0021,0.0071,0.7688,-0.0118,0.0159,0.8663,0.1759,2500
realized_volatility_roc63_scaled_std,0.0057,0.0215,0.7911,-0.0365,0.0479,0.9019,0.3316,2500
realized_volatility_trend_z_scaled_trend,0.0114,0.0436,0.7937,-0.0741,0.0969,0.9017,0.5528,2500
vrp_roc63_scaled_trend,0.0070,0.0294,0.8124,-0.0506,0.0645,0.9076,0.1039,2500
ofi_roc63_scaled_trend,0.0113,0.0500,0.8209,-0.0866,0.1092,0.9088,0.1625,2500
vrp_scaled_last,-0.0009,0.0042,0.8242,-0.0091,0.0073,0.9074,0.1059,2500
ofi_scaled_last,-0.0011,0.0056,0.8411,-0.0121,0.0098,0.9176,0.2702,2500
risk_neutral_kurtosis_roc63_scaled_trend,0.0074,0.0371,0.8427,-0.0653,0.0801,0.8584,-0.0425,2500
fx_rv_6e_21d_roc63_scaled_last,-0.0008,0.0043,0.8462,-0.0092,0.0075,0.9317,-0.1748,2500
fx_rv_6j_21d_scaled_trend,-0.0086,0.0453,0.8486,-0.0974,0.0801,0.8911,0.0119,2500
pcr_oi_roc63_scaled_mean,-0.0009,0.0062,0.8822,-0.0131,0.0112,0.8927,0.0343,2500
fx_rv_6e_21d_scaled_mean,-0.0006,0.0047,0.8960,-0.0098,0.0086,0.9319,-0.0164,2500
fx_rv_6e_21d_scaled_std,-0.0024,0.0233,0.9164,-0.0480,0.0431,0.9314,-0.0192,2500
realized_volatility_scaled_trend,0.0032,0.0406,0.9364,-0.0763,0.0828,0.9016,0.5653,2500
fx_rv_6e_21d_trend_z_scaled_mean,-0.0003,0.0044,0.9411,-0.0090,0.0084,0.9304,-0.2678,2500
risk_neutral_kurtosis_roc63_scaled_last,0.0003,0.0043,0.9533,-0.0082,0.0087,0.8604,-0.0095,2500
credit_spread_roc63_scaled_trend,-0.0031,0.0588,0.9577,-0.1183,0.1121,0.9103,0.2159,2500
ffr_basis_scaled_std,-0.0007,0.0134,0.9584,-0.0270,0.0256,0.8924,0.0249,2500
ffr_slope_trend_z_scaled_std,-0.0003,0.0069,0.9635,-0.0139,0.0133,0.8919,-0.0118,2500
fx_momentum_6e_21d_trend_z_scaled_mean,-0.0001,0.0018,0.9672,-0.0037,0.0035,0.9308,-0.0419,2500
dex_oi_trend_z_scaled_last,-0.0001,0.0037,0.9699,-0.0073,0.0070,0.8263,0.6016,2500
fx_rv_6e_21d_trend_z_scaled_std,0.0005,0.0132,0.9712,-0.0254,0.0264,0.9307,0.0145,2500
pcr_oi_roc63_scaled_trend,-0.0016,0.0565,0.9768,-0.1125,0.1092,0.8875,0.0530,2500
fx_momentum_6j_21d_trend_z_scaled_mean,-0.0000,0.0029,0.9951,-0.0058,0.0057,0.8847,0.2192,2500
